delta,p2p_dis,p2c_dis,p2p_changed,p2c_changed,flipped,new_p2p,new_p2c
0,0.9007448467001559,3.6203014030833187,1.420405335181015,1.9054217910964837,0.06928806513078123,1.870777758531093,8.19331370171488
1,1.1816838995568686,3.7255867388806827,1.4771048744460857,1.4935171508288199,0.26259642212374856,1.444280321680617,6.614147382241917
2,1.6070007955449483,4.709626093874304,0.5568814638027049,0.700079554494829,0.20684168655529037,1.2887828162291168,8.050914876690532
3,1.2046332046332047,4.617760617760617,0.7104247104247104,1.0810810810810811,0.21621621621621623,2.023166023166023,7.706563706563706
4,1.4417360285374554,4.102259215219976,0.6093935790725327,0.5499405469678954,0.178359096313912,1.3228299643281807,6.822235434007134
5,1.1734028683181226,4.259017818339852,0.5359988410835869,0.8691873098652759,0.1303780964797914,1.3327538751267565,6.084311169056932
6,1.3778409090909092,4.375,0.8806818181818182,0.8380681818181818,0.1278409090909091,1.1647727272727273,6.122159090909091
7,0.6715165081141579,4.099048684946839,0.8114157806379407,1.1052042529378847,0.16787912702853947,2.0285394515948516,9.177392277560157
8,0.7754994742376445,3.6277602523659307,0.7097791798107256,0.7360672975814931,0.15772870662460567,1.6430073606729758,6.94006309148265
9,2.9018420388594497,4.895281352510724,0.5425182942215493,1.2112036336109009,0.22710068130204392,0.5425182942215493,6.649003280343174
10,0.31733942625031736,3.4526529576034526,0.6854531607006854,0.6727595836506728,0.17771007870017771,1.0535668951510535,7.336887534907337
11,0.8371754428536763,5.763164280514438,0.7037126910943946,0.6915797136617325,0.1455957291919437,1.1162339238049017,11.514195583596214
12,0.537818972422474,3.4328870580157913,0.37761757638173704,1.132852729145211,0.19453026662089484,0.8353358507838425,6.934431857191899
13,0.5953037151361482,4.310439863300628,1.047293572924705,0.6504244295006063,0.18741042883915776,1.8851284312644692,7.033403152904862
14,0.4557498675145734,4.027556968733439,0.37095919448860626,2.2257551669316373,0.11658717541070482,0.9009009009009009,6.751457339692633
15,0.9862338196013971,3.5648243271008835,2.136839942469694,0.975960550647216,0.15409903431271832,0.7499486336552291,7.7974111362235465
16,0.5729526820112615,4.148967697322928,0.2765978464881952,0.5927096710461326,0.16793440679640423,1.8176429912081398,6.707497777338734
17,0.8755234107346783,3.7590407308717166,0.8374571754853445,1.056338028169014,0.1427483821850019,0.8564902931100115,6.547392462885421
18,1.4723585517177515,4.0188906380220395,0.5278266506157978,0.7593295675525512,0.08334105009723122,0.9723122511343643,6.76914529123067
19,0.9056330374932078,3.8670530700959973,0.5343234921209926,0.7335627603694983,0.09961963412425286,1.9742800217351928,7.525810541568556
20,1.7986855759252853,8.621584226911104,0.6831546177793151,1.0377032168799722,0.16430300933932895,2.2310619162919405,18.367346938775512
21,0.7377756847971116,3.3199905815870028,0.7691703947884782,0.6435915548230123,0.09418412997409936,3.838003296444549,8.735578055097717
22,1.9383769709243455,3.8044264429336034,0.6220164906697526,1.1572399826414002,0.12295674815564878,3.3632286995515694,7.189353392159699
23,1.9322338002898352,4.313021875646953,0.5796701400869505,0.993720240149058,0.09661169001449176,1.6838037402525705,8.170588641225589
24,1.565205807912615,3.403490075929133,0.9790861862261889,0.6527241241507926,0.10656720394298655,7.826029039563075,8.512055414946051
25,2.0692542312062674,3.6600681777405657,0.4904012917887686,0.6399138807487591,0.11362956760959272,1.40541833622391,6.141977154476407
26,6.7195301027900145,5.527165932452276,0.4170337738619677,1.1395007342143906,0.09397944199706314,1.303964757709251,6.372980910425844
27,0.8432325967870992,3.773004246937896,0.4862436142056995,1.944974456822798,0.08616975441619991,2.6158675447774975,8.118421862497692
28,0.9454207992575837,4.071689577170698,1.7574386636506003,0.48721071863581,0.13340293486456703,4.738704251493533,8.299982599617191
29,5.213702749140894,5.304982817869416,0.26310137457044674,1.3208762886597938,0.0859106529209622,1.5678694158075601,6.840635738831615
30,1.5687565136306292,5.276726454939389,0.504634962426636,0.8502002084361802,0.07130711425593769,1.4700235861993307,7.701168339641271
31,0.8040739748056821,3.827392120075047,1.1953899758777808,0.7129455909943715,0.11793084963816672,9.236129723934601,9.638166711337442
32,2.7871621621621623,4.401276276276277,0.6146771771771772,1.0088213213213213,0.1173048048048048,1.6188063063063063,6.6441441441441444
33,1.8615663153985422,4.944060164337775,0.6684926419386287,0.6499234018847778,0.10677313030964208,1.2394967735945406,7.868715472819275
34,1.17529609293461,4.624041384943504,0.7487407541861415,0.8984889050233698,0.145210328084585,3.5803421518355494,7.913962880609883
35,5.413876008930105,7.281470032629229,0.43791859866048427,2.3613257770908467,0.10733298986776575,1.4339687446333504,7.22136355830328
36,2.2951993199409424,4.491969039416581,1.7314661536396583,0.7069034942508166,0.11632589145899512,6.532146212697419,9.798219319046128
37,3.1326580624081033,5.74661003104068,0.5840548929913413,1.2906387845123346,0.13478189838261723,3.0713935631432774,6.106028426727659
38,1.04247261473307,4.491590992385063,0.8755141100297268,1.4374720039092723,0.1791749806572464,4.695198924950116,7.521277028953048
39,4.01175662264295,5.3210168715169095,0.7252462020001527,0.805404992747538,0.12214672875792046,1.6680662646003512,6.053897244064433
40,1.664338919925512,5.4508069522036005,0.4965859714463066,0.6905648665425201,0.08147113594040968,3.8291433891992552,6.626319056486654
41,1.4566204902954536,4.565078649998123,0.4692720651725044,0.7245560686263468,0.09010023651312085,1.4416037842099336,6.3670833802605395
42,1.6228377531073654,5.347988050012909,0.4536569173459226,0.5347988050012908,0.1401541695865452,1.3535942167963708,6.2589901523254525
43,1.685784439476674,5.137977791622384,0.38479862205445814,0.7989152343606846,0.0732949756294206,1.817715395609631,6.40231612122989
44,1.2433135752493856,4.647968772589273,0.332514095706231,0.6505710568165389,0.09397137487350007,1.7203990169148475,5.002168570189388
45,1.30475302889096,4.430425120080293,0.5269194924367339,0.8925370994336511,0.08602767223456878,1.7563983081224461,5.724424689941931
46,1.1872467852739124,4.12541835476484,0.3100228994187071,0.5354940989959486,0.05989078738770477,1.4268099348247314,5.5874581645235155
47,2.137314673687128,4.75266731328807,0.5161424414576694,0.5161424414576694,0.10738534016904532,2.7608424553138424,5.5251489538589444
48,1.4861125345905504,4.321683577602405,0.6046940657989136,0.8267568583239384,0.09224146766424106,1.479279833282088,4.793139967886304
49,1.8192947257455707,4.515931580916108,0.34685619070289386,0.8569388240895025,0.07481211956336926,1.370422008365355,5.403475363008807
50,1.2628656554712894,4.431879739978331,0.3317984832069339,0.4536836403033586,0.10834236186348863,1.5371072589382448,5.545774647887324
51,2.6180458158017763,5.0691244239631335,0.2771655646830962,0.5476524410605758,0.07346557136178454,1.8499966606558471,5.1526080277833435
52,1.7887764365690462,5.056992031202717,0.457281194310884,0.6018627483944723,0.08405904307185368,2.5049594835412394,5.484011970007733
53,1.3164455968884012,3.7864432698381036,0.41222033841960043,0.6083574349257006,0.07646022406170008,3.1282204713939032,5.7478142348991055
54,1.3582778062532035,4.129292670425423,0.35238339313172734,0.48372629420809843,0.04484879548949257,2.037416709379805,5.333803177857509
55,5.2414790592378315,3.999496918626588,0.4244749088165011,0.569110803672494,0.05345239592504088,1.3866180354672368,4.618915859640297
56,0.7213647441104792,3.7952883834281073,0.2956945572705118,0.4939073923639318,0.05199025182778229,6.281072298943948,5.049553208773355
57,1.0191044049647116,3.9121440739839377,0.4319785835969822,0.6723046970065709,0.05171574592358238,1.7674616695059626,4.9951326356777805
58,2.150923104499014,3.2741829479596105,0.2867897472665352,0.8275079165919819,0.05377307761247535,1.8073728864193106,4.391468005018821
59,1.8913230367889011,3.4002312275813003,0.25790768683485016,0.4061304953606261,0.07707586043340349,4.093913971481932,6.257966975958261
60,2.7031602708803613,4.983069977426637,0.3132054176072235,0.4401805869074492,0.05925507900677201,1.4531602708803613,4.201467268623025
61,0.9158986175115207,3.444700460829493,0.35714285714285715,0.42914746543778803,0.04032258064516129,6.912442396313364,5.060483870967742
62,1.3221636378235153,3.0966464149024437,0.4951422530310735,0.5834649251933731,0.056205336830554294,9.940315285175174,9.522789925862485
63,8.36823003908431,7.435324772008189,0.2698678578075563,0.6211613623673925,0.06514051740182393,1.4912525590917551,3.280290340591848
64,1.5271167825950525,3.16144553109147,0.5151404215260708,0.6092777574394644,0.06798807593745097,2.528633439673657,4.3669264159824275
65,2.049327124801719,3.7737297241979224,0.22002763137696363,0.48099063603336234,0.04861075576932917,1.6502072353272272,4.00143273806478
66,1.3993182808375406,3.5418642199953867,0.31266818729336987,0.41774520105589585,0.051257079884159,2.6217996360747327,4.792536969168866
67,1.3080232092837134,3.011204481792717,0.3351340536214486,0.6002400960384153,0.06502601040416167,3.4113645458183273,4.029111644657863
68,6.09720605355064,3.490007760962359,0.29831199068684516,0.8076251455180442,0.05093131548311991,1.1980985642219635,2.837601862630966
69,4.22925814652184,2.670569807154046,0.23881056929358294,0.8396887759032432,0.04365354492463344,1.160670723878489,3.9082761985465937
70,1.3497253465864505,2.6628302380329583,0.6382422181532827,0.5493068270991368,0.08108815066701543,8.828145435521842,6.280408056500131
71,2.024863439442456,4.19805989828593,0.3296289320022603,0.5580146920323978,0.08240723300056507,4.6124505556602,4.746656620832549
72,2.214409642954981,2.9700483974066296,0.42461875627796547,0.42690165281709436,0.04337503424344809,1.769244817824856,3.60241073874532
73,1.5152896139999088,2.570295766303605,0.307615184796974,0.8111926354646128,0.04785125096841818,1.9527867657111608,3.766577040514059
74,1.7689393090150887,2.7800820572607226,0.38338228370288996,0.4618523417707329,0.04932403649978701,2.4639598233302693,3.423536533417035
75,1.8650442477876106,2.8628318584070795,0.3672566371681416,0.48451327433628316,0.06637168141592921,2.9601769911504423,3.52212389380531
76,1.5371904420237863,2.7678124932054877,0.4979018546300524,0.7762050746852782,0.05870458548039919,1.8720240036527298,3.9549496662535604
77,1.366371833037072,2.488595720986015,0.23343970188250915,0.6767609705951642,0.04497462146360268,2.038849506349988,3.5701282847536033
78,1.6101195487455802,2.8561205590166696,0.5703822192288264,0.738760734130325,0.06103721165179323,2.3909749116012797,3.363360835157434
79,1.9803008893691298,2.4561549330895187,0.45299642589975897,0.9246945391073061,0.060260992436206466,1.8348433214196658,3.449422325658715
80,1.9945602901178603,2.682766010055221,0.4347646913376741,0.7850490398087859,0.05563339652188247,1.5783400642874805,2.7816698260941233
81,1.7611310926454173,2.604489644053082,0.6221836371904584,0.7751457273967506,0.05167638182645004,1.5544255653396173,3.7951134813344907
