delta,p2p_dis,p2c_dis,p2p_changed,p2c_changed,flipped,new_p2p,new_p2c
0,0.7107540173053152,2.8430160692212607,0.7725587144622992,1.2051915945611866,0.030902348578491966,1.6996291718170582,7.045735475896168
1,1.2925969447708578,2.8495887191539366,0.6169212690951822,1.2338425381903644,0.14688601645123384,1.0869565217391304,5.669800235017626
2,1.3169195533924993,2.834239908388205,0.5153163469796737,0.37217291726309765,0.0572573718866304,1.002004008016032,6.928141998282279
3,0.8827586206896552,3.2,0.41379310344827586,0.5793103448275863,0.08275862068965517,1.4068965517241379,7.0344827586206895
4,0.9251916468411314,3.1985196933650544,0.5286809410520751,0.5551149881046789,0.13217023526301877,1.2424002114723764,5.604017975151995
5,1.260936695831189,3.525476067936181,0.3860010293360782,0.6433350488934637,0.0514668039114771,0.7205352547606794,4.632012352032938
6,0.8188331627430911,3.0962128966223132,0.9211873080859775,0.8188331627430911,0.0767656090071648,0.9979529170931423,5.245649948822927
7,0.450112528132033,3.3258314578644663,0.6501625406351588,1.1502875718929733,0.05001250312578145,1.2503125781445361,9.252313078269568
8,0.5388940955951266,2.624179943767573,0.6794751640112465,0.49203373945641987,0.07029053420805999,1.8744142455482662,5.810684161199625
9,2.0847343644922662,2.8020623178659494,0.6276619592019727,1.165657924232235,0.13449899125756556,0.49316296794440706,6.097287603676306
10,0.26449195503636763,2.556755565351554,0.5730659025787965,0.3967379325545515,0.13224597751818382,0.793475865109103,6.898831827198589
11,0.7145859604875998,4.833963850357293,0.4833963850357293,0.6515342580916351,0.10508617065994115,1.092896174863388,10.151324085750316
12,0.457347385166037,2.803738317757009,0.39769337840524954,0.9942334460131239,0.09942334460131239,0.6959634122091867,6.243786040962418
13,0.5945531261986958,3.2604526275412353,0.7671653241273494,0.3835826620636747,0.11507479861910241,2.819332566168009,6.67433831990794
14,0.4357298474945534,3.122730573710966,0.36310820624546114,1.016702977487291,0.10893246187363835,0.8533042846768337,5.900508351488743
15,0.8092892329345531,2.797325826882477,1.143560872624912,1.0907811400422238,0.1055594651653765,0.8268824771287826,6.703026038001408
16,0.6771626883358727,3.622820382596919,0.25393600812595224,0.5078720162519045,0.11850347045877772,1.100389368545793,6.145251396648045
17,0.7235652030915968,3.3547113961519486,0.8386778490379871,1.0853478046373952,0.0657786548265088,0.740009866798224,6.183193553691827
18,0.8794371602174609,2.9740965781899584,0.5116725295810681,0.6236008954269268,0.06395906619763352,1.0073552926127278,6.5398145187080265
19,0.7710100231303006,2.698535080956052,0.4163454124903624,0.5859676175790285,0.06168080185042406,1.2644564379336931,7.540478026214341
20,1.4199970721709851,6.997511345337433,0.5416483677353242,0.9808227199531547,0.0731957253696384,1.7713365539452497,18.108622456448543
21,0.6960861570790648,2.495403204623063,0.5910165484633569,0.6304176516942475,0.06566850538481744,3.9401103230890464,8.379301287102706
22,2.2385365266578408,2.8884342279456012,0.6378625586713202,1.0109519797809603,0.08424599831508003,2.0580093874112406,6.703574437357083
23,2.1251887121124144,3.507142027639066,0.6967831842991522,0.9638834049471606,0.05806526535826269,1.381953315526652,7.931715247938683
24,1.075268817204301,2.6769713261648747,0.817652329749104,0.5936379928315412,0.07840501792114696,9.117383512544803,8.456541218637993
25,1.3875221413107657,2.6963196221216297,0.35426097224955716,0.5215508758118481,0.0688840779374139,1.1611887423735485,5.796103129305255
26,7.126458771762005,4.601109623110771,0.31566864358140423,1.0426630954658505,0.01913143294432753,0.7843887507174288,6.0455328104075
27,0.7141420237376785,3.1583182458257895,0.35204184268758804,2.202776101388051,0.05029169181251257,3.108026554013277,7.342587004626836
28,0.8399395998489996,2.887882219705549,2.1140052850132127,0.4341260853152133,0.08493771234428087,5.709701774254436,8.144582861457154
29,6.290170537321107,4.396263604421973,0.265661153483589,1.208329762618905,0.02570914388550861,0.9683777530208244,6.2216128202930845
30,1.2165882248468165,4.2536186839534675,0.4884113311428825,0.9146612201403073,0.05328123612467809,1.2787496669922742,7.0064825503951695
31,0.630506132319917,2.9711521851787874,1.1832786318880635,0.630506132319917,0.04318535152876144,9.483503195716013,8.8702712040076
32,2.506397711877164,3.522504892367906,0.4967635104621406,1.1365346981785338,0.09784735812133072,1.6332982086406744,6.149330121932862
33,1.6717212811598492,3.861232339670094,0.724905688290554,0.5251867741696871,0.06657297137362231,1.0799615356165397,7.071528959242547
34,0.944280256613566,3.3734592373675483,0.6415339147985295,1.1100699199884667,0.07929070857060477,3.5897066243782887,6.883875153175232
35,4.787125687512732,5.296394377673661,0.434575948937326,1.3580498404291437,0.033951246010728596,1.4599035784613295,6.532219732464181
36,2.316388099035994,3.689576253554338,0.8530411262916985,0.6727234898397947,0.03467646854844303,4.577293848394479,8.30154657049726
37,2.4399740428293315,4.263465282284231,0.5905256327060351,0.7981829980532122,0.06489292667099286,2.8487994808565866,5.983127839065542
38,0.9785233193544288,3.9395094675308173,0.4384292794510103,1.5186173592578474,0.0571864277544796,3.79336637438048,6.39852586097344
39,3.1747947851279577,4.092225977788508,0.8450024142926122,0.7786093674553356,0.04828585224529213,1.6175760502172862,5.341622404635442
40,1.2471998546951626,4.09275292123267,0.5448931404007992,0.5327844039474481,0.030271841133377733,3.5418054126051945,6.193618695889084
41,1.33967407063736,3.6072609174737575,0.5277503914632025,0.672736762744302,0.0347967291074639,1.4092675288522878,6.141622687467378
42,1.4413294144245987,4.538774587384128,0.4239204160072349,0.5030522269952521,0.05652272213429799,1.4300248699977391,5.951842640741578
43,1.633221850613155,3.968784838350056,0.3232998885172798,0.6967670011148273,0.03901895206243032,1.8784838350055741,5.6521739130434785
44,1.1374822268402056,3.78431587006453,0.3609318604396806,0.4484304932735426,0.038280651864814615,1.7226293339166576,4.309307667067702
45,1.1141759965384823,3.6508194061333765,0.4164638433663259,1.065498404456704,0.0324517280545189,1.5144139758775488,5.100329925901888
46,0.9505602464022092,3.4305135149487547,0.3345547235940736,0.5151080664861133,0.010620784876002336,1.1523551590462535,4.710318092507037
47,1.5227629513343799,3.783359497645212,0.554683411826269,0.5389848246991105,0.04186289900575615,3.2862375719518577,4.929356357927786
48,1.0169836265636123,3.4984236753788265,0.6559544391335299,0.7373131292586189,0.010169836265636124,1.3322485507983322,4.144208278246721
49,1.551246537396122,3.429866532359607,0.37773860488541927,0.7806597834298665,0.020146058927222363,1.6167212289095945,4.814908083606144
50,1.345380529216105,3.7333068559797447,0.3624087772427146,0.43191183041255027,0.034751526584917834,1.4992801469493124,4.770888149729434
51,2.8896629544228034,4.229014374724034,0.318893195309817,0.5789138007162832,0.019624196634450277,1.9084531227002894,4.577343864985528
52,1.8959217932260295,3.870840327836477,0.44435667028735065,0.6418485237483954,0.03456107435568283,2.7747605411276783,5.110101708304533
53,1.3972827926316298,2.9782913503843735,0.4689841899144225,0.47381907847024124,0.03384421989073152,3.036310013054199,4.878402552821157
54,1.2281111370534672,3.212701377539108,0.3175344384777025,0.4576231613355125,0.03268736866682232,2.166705580200794,4.314732664020546
55,4.713527365916163,3.2308255537250594,0.35694673256452497,0.553725059491122,0.027457440966501923,1.2035511623650008,3.7845506132161817
56,0.6601905121192115,3.183061397717627,0.33009525605960577,0.47628029802885974,0.0188625860605489,6.026596246345374,4.277091389229463
57,0.9213323883770376,3.233522324592488,0.2923458540042523,0.540396881644224,0.031006378454996455,1.563607370659107,4.128277817150956
58,2.54765955590455,2.687257339789731,0.19194695284212362,0.49731710509095667,0.04362430746411901,1.2912795009379225,3.7647777341534705
59,1.4552923695481164,2.62651866095621,0.17043964688401364,0.2971768202080238,0.0349619788480028,3.4350144218162746,5.974128135652478
60,2.4604788183062944,4.589021202439733,0.2696983527654454,0.40662213186174845,0.024895232562964192,1.3692377909630307,3.460437326252023
61,0.9674955444284138,2.728507171348553,0.3055249087668675,0.3946363404905372,0.016973606042603753,7.689043537299499,4.629551048120173
62,1.33604187827174,2.4455035549652315,0.4180014063598719,0.3750292991639972,0.023439331197749824,9.985155090241426,11.168841315727791
63,8.477284073889166,8.36079214511566,0.22965551672491263,0.6456981194874355,0.0399400898652022,1.4478282576135797,2.6859710434348476
64,1.2238828732652127,2.356260484977886,0.47658990391947537,0.46133902699405216,0.03812719231355803,2.1579990849473845,3.660210462101571
65,1.9093790788737648,3.0430729069550626,0.17900428864441545,0.35055006526198024,0.037292560134253215,1.50661942942383,3.5204176766735036
66,1.315446245574809,2.9290106204583566,0.2534004099124278,0.3651947084032048,0.018632383081796162,3.0072666294019004,4.277995155580399
67,1.1970633973454847,2.4990054609236556,0.29655347003725,0.4665292394488445,0.03978156305377744,3.0053162634262773,3.410364905428375
68,4.883286976727811,2.7778755765236065,0.2605358588881456,0.8379396542618738,0.01760377424919903,1.0773509840509805,2.464528394887864
69,3.62060735137517,2.170161201483494,0.2093048874527228,0.5618183821099402,0.029376124554768113,1.1383248264972643,3.2130136231777624
